Complaint,Pain_Scale,Mobility_Loss,Target_Label
Sharp shooting pain down my neck area,3.8,5.4,1
I twisted my knee playing sports,5.4,5.6,0
My lower back feels incredibly tight,8.5,5.7,2
Stiff back spine when standing up,8.9,7.1,2
I can't turn my head left because of neck tension,6.066842105263157,3.0,1
My lower back feels incredibly tight,6.1,4.5,2
My neck is completely locked up and stiff,5.3,5.0,1
Sharp shooting pain down my neck area,3.8,4.0,1
Sharp muscle spasm in my lower back,3.0,1.6,2
Stiff knee caps and swelling,4.7,3.9,0
Sharp shooting pain down my neck area,9.5,4.9,1
Stiff back spine when standing up,4.6,2.9,2
Stiff back spine when standing up,6.2,5.0,2
I can't turn my head left because of neck tension,7.6,5.2,1
My neck is completely locked up and stiff,4.9,5.8,1
I twisted my knee playing sports,9.8,6.9,0
I can't turn my head left because of neck tension,9.7,7.8,1
I can't turn my head left because of neck tension,4.0,3.5,1
Stiff knee caps and swelling,6.0,6.5,0
Sore neck muscles from sleeping wrong,4.4,2.3,1
My neck is completely locked up and stiff,6.066842105263157,4.8,1
Sharp pain in my knee joint after running,2.3,2.0,0
I can't turn my head left because of neck tension,6.9,4.9,1
Dull throbbing lower back irritation,6.0,5.6,2
Sore neck muscles from sleeping wrong,2.4,2.2,1
Sharp pain in my knee joint after running,4.2,3.0,0
Dull throbbing lower back irritation,9.3,7.9,2
My neck is completely locked up and stiff,3.9,2.9,1
My knee hurts when I try to squat down,3.2,2.8,0
Dull throbbing lower back irritation,5.9,5.7,2
Sharp muscle spasm in my lower back,9.9,10.0,2
Sore neck muscles from sleeping wrong,3.9,2.1,1
My lower back feels incredibly tight,7.4,8.4,2
Dull throbbing lower back irritation,8.1,4.9,2
Lower back ache from sitting too long,3.9,3.2,2
My knee hurts when I try to squat down,7.8,7.2,0
Stiff back spine when standing up,4.9,4.5,2
Stiff back spine when standing up,7.1,5.4,2
Sharp muscle spasm in my lower back,7.1,5.8,2
Dull throbbing lower back irritation,6.3,4.9,2
Dull throbbing lower back irritation,2.7,1.7,2
Stiff knee caps and swelling,8.7,8.2,0
Dull throbbing lower back irritation,4.6,4.2,2
Sharp shooting pain down my neck area,3.5,2.3,1
I twisted my knee playing sports,2.3,2.9,0
Lower back ache from sitting too long,6.7,6.0,2
Stiff knee caps and swelling,7.4,7.1,0
My neck is completely locked up and stiff,2.1,2.4,1
Stiff knee caps and swelling,6.1,4.4,0
Sharp shooting pain down my neck area,3.8,2.7,1
My neck is completely locked up and stiff,6.066842105263157,6.8,1
Lower back ache from sitting too long,3.4,3.5,2
Sharp shooting pain down my neck area,7.5,6.4,1
Sharp pain in my knee joint after running,5.1,4.4,0
I twisted my knee playing sports,9.5,9.3,0
Lower back ache from sitting too long,3.1,2.0,2
Dull throbbing lower back irritation,4.7,4.6,2
Sharp pain in my knee joint after running,2.9,2.3,0
Sharp muscle spasm in my lower back,9.4,7.8,2
Lower back ache from sitting too long,9.0,8.8,2
Sharp muscle spasm in my lower back,6.066842105263157,4.3,2
My neck is completely locked up and stiff,7.3,7.0,1
Sharp pain in my knee joint after running,8.5,8.6,0
I twisted my knee playing sports,6.4,5.5,0
Dull throbbing lower back irritation,6.2,6.0,2
Dull throbbing lower back irritation,3.9,3.0,2
Sharp shooting pain down my neck area,2.7,2.7,1
Dull throbbing lower back irritation,9.2,7.7,2
My lower back feels incredibly tight,9.2,7.9,2
I can't turn my head left because of neck tension,7.1,6.6,1
Stiff knee caps and swelling,4.7,3.2,0
My knee hurts when I try to squat down,4.8,6.2,0
I twisted my knee playing sports,7.8,5.6,0
Sharp pain in my knee joint after running,9.2,6.6,0
I can't turn my head left because of neck tension,9.1,8.9,1
I twisted my knee playing sports,8.2,7.8,0
Sharp pain in my knee joint after running,7.1,6.7,0
Sore neck muscles from sleeping wrong,2.7,2.9,1
Sore neck muscles from sleeping wrong,3.3,2.8,1
Sharp muscle spasm in my lower back,9.2,6.9,2
I twisted my knee playing sports,6.9,5.9,0
Sore neck muscles from sleeping wrong,2.1,1.1,1
My lower back feels incredibly tight,2.8,3.4,2
Sharp pain in my knee joint after running,7.3,6.1,0
Sharp muscle spasm in my lower back,2.0,0.9,2
Dull throbbing lower back irritation,3.3,2.5,2
Sharp pain in my knee joint after running,6.4,5.8,0
Sharp muscle spasm in my lower back,7.5,5.8,2
I twisted my knee playing sports,7.2,5.3,0
I can't turn my head left because of neck tension,3.8,3.5,1
Sharp shooting pain down my neck area,7.7,6.8,1
Dull throbbing lower back irritation,6.066842105263157,2.8,2
Lower back ache from sitting too long,6.066842105263157,3.4,2
I can't turn my head left because of neck tension,8.0,7.0,1
My neck is completely locked up and stiff,7.2,4.7,1
My lower back feels incredibly tight,8.8,6.1,2
Sharp pain in my knee joint after running,7.3,5.5,0
My neck is completely locked up and stiff,6.5,5.4,1
I can't turn my head left because of neck tension,2.7,2.6,1
Sharp muscle spasm in my lower back,4.9,5.7,2
Lower back ache from sitting too long,4.1,4.4,2
Dull throbbing lower back irritation,4.0,3.2,2
Dull throbbing lower back irritation,9.8,8.3,2
Dull throbbing lower back irritation,5.1,3.4,2
My lower back feels incredibly tight,9.1,7.7,2
Lower back ache from sitting too long,7.0,5.7,2
My lower back feels incredibly tight,8.4,7.4,2
My lower back feels incredibly tight,6.0,4.3,2
My knee hurts when I try to squat down,6.6,6.1,0
Lower back ache from sitting too long,5.9,6.6,2
Sharp shooting pain down my neck area,3.6,2.9,1
Lower back ache from sitting too long,7.8,7.0,2
I can't turn my head left because of neck tension,4.2,4.3,1
My knee hurts when I try to squat down,2.2,1.5,0
Dull throbbing lower back irritation,7.2,6.3,2
I can't turn my head left because of neck tension,3.4,2.9,1
I can't turn my head left because of neck tension,9.5,8.2,1
Stiff back spine when standing up,9.6,7.4,2
Stiff knee caps and swelling,9.3,7.9,0
My knee hurts when I try to squat down,5.0,4.7,0
I can't turn my head left because of neck tension,2.1,3.3,1
Stiff knee caps and swelling,6.066842105263157,9.0,0
Stiff knee caps and swelling,5.4,6.8,0
My knee hurts when I try to squat down,9.7,7.5,0
Stiff back spine when standing up,9.7,9.1,2
My neck is completely locked up and stiff,8.8,7.7,1
Sharp muscle spasm in my lower back,4.4,5.9,2
